date,y2y_0,m2m,y2y_1
2019/11/1,2.07,100.4,104.5
2019/10/1,1.85,100.9,103.8
2019/9/1,2.55,100.9,103
2019/8/1,2.62,100.7,102.8
2019/7/1,2.67,100.4,102.8
2019/6/1,2.7,99.9,102.7
2019/5/1,2.67,100,102.7
2019/4/1,2.55,100.1,102.5
2019/3/1,2.32,99.6,102.3
2019/2/1,1.35,101,101.5
2019/1/1,1.83,100.5,101.7
2018/12/1,2.04,100,101.9
2018/11/1,2.38,99.7,102.2
2018/10/1,2.45,100.2,102.5
2018/9/1,2.47,100.7,102.5
2018/8/1,2.2,100.7,102.3
2018/7/1,1.91,100.3,102.1
2018/6/1,1.92,99.9,101.9
2018/5/1,1.78,99.8,101.8
2018/4/1,1.96,99.8,101.8
2018/3/1,2.51,98.9,102.1
2018/2/1,2.53,101.2,102.9
2018/1/1,1.45,100.6,101.5
2017/12/1,1.84,100.3,101.8
2017/11/1,1.83,100,101.7
2017/10/1,1.82,100.1,101.9
2017/9/1,1.55,100.5,101.6
2017/8/1,1.65,100.4,101.8
2017/7/1,1.5,100.1,101.4
2017/6/1,1.62,99.8,101.5
2017/5/1,1.58,99.9,101.5
2017/4/1,1.1,100.1,101.2
2017/3/1,0.99,99.7,100.9
2017/2/1,1.6,99.8,100.8
2017/1/1,2.53,101,102.5
2016/12/1,2.21,100.2,102.1
2016/11/1,2.18,100.1,102.3
2016/10/1,2.11,99.9,102.1
2016/9/1,1.73,100.7,101.9
2016/8/1,1.6,100.1,101.3
2016/7/1,1.75,100.2,101.8
2016/6/1,1.83,99.9,101.9
2016/5/1,2.2,99.5,102
2016/4/1,2.32,99.8,102.3
2016/3/1,2.44,99.6,102.3
2016/2/1,1.88,101.6,102.3
2016/1/1,1.9,100.5,101.8
2015/12/1,1.53,100.5,100.5
2015/11/1,1.38,100,100
2015/10/1,1.42,99.7,99.7
2015/9/1,1.84,100.1,100.1
2015/8/1,1.86,100.5,100.5
2015/7/1,1.54,100.3,100.3
2015/6/1,1.27,100,100
2015/5/1,1.3,99.8,99.8
2015/4/1,1.64,99.8,99.8
2015/3/1,1.36,99.5,99.5
2015/2/1,0.99,101.2,101.2
2015/1/1,1.02,100.3,100.3
2014/12/1,1.54,100.3,100.3
2014/11/1,1.65,99.8,99.8
2014/10/1,1.56,100,100
2014/9/1,1.74,100.5,100.5
2014/8/1,2.2,100.2,100.2
2014/7/1,2.32,100.1,100.1
2014/6/1,2.4,99.9,99.9
2014/5/1,2.44,100.1,100.1
2014/4/1,2.09,99.7,99.7
2014/3/1,2.45,99.5,99.5
2014/2/1,2.04,100.5,100.5
2014/1/1,2.36,101,101
2013/12/1,2.63,100.3,100.3
2013/11/1,3.17,99.9,99.9
2013/10/1,3.29,100.1,100.1
2013/9/1,2.88,100.8,100.8
2013/8/1,2.6,100.5,100.5
2013/7/1,2.75,100.1,100.1
2013/6/1,2.47,100,100
2013/5/1,2.44,99.4,99.4
2013/4/1,2.27,100.2,100.2
2013/3/1,2.41,99.1,99.1
2013/2/1,2.93,101.1,101.1
2013/1/1,1.92,101,101
2012/12/1,2.36,100.8,100.8
2012/11/1,2.1,100.1,100.1
2012/10/1,1.9,99.9,99.9
2012/9/1,1.91,100.3,100.3
2012/8/1,2.03,100.6,100.6
2012/7/1,1.74,100.1,100.1
2012/6/1,2.38,99.4,99.4
2012/5/1,3.17,99.7,99.7
2012/4/1,3.35,99.9,99.9
2012/3/1,3.35,100.2,100.2
2012/2/1,2.65,99.9,99.9
2012/1/1,4.04,101.5,101.5
2011/12/1,4.05,100.3,100.3
2011/11/1,4.42,99.8,99.8
2011/10/1,5.47,100.1,100.1
2011/9/1,6.17,100.5,100.5
2011/8/1,6.05,100.3,100.3
2011/7/1,6.33,100.5,100.5
2011/6/1,6,100.3,100.3
2011/5/1,5.49,100.1,100.1
2011/4/1,5.13,100.1,100.1
2011/3/1,5.26,99.8,99.8
2011/2/1,4.68,101.2,101.2
2011/1/1,5.34,101,101
2010/12/1,4.41,100.5,100.5
2010/11/1,4.65,101.1,101.1
2010/10/1,3.93,100.7,100.7
2010/9/1,3.61,100.6,100.6
2010/8/1,5.4,100.6,100.6
2010/7/1,3.37,100.4,100.4
2010/6/1,3.32,99.4,99.4
2010/5/1,3.02,99.9,99.9
2010/4/1,2.68,100.2,100.2
2010/3/1,2.56,99.3,99.3
2010/2/1,2.28,101.2,101.2
2010/1/1,1.89,100.6,100.6
2009/12/1,1.75,101,101
2009/11/1,0.46,100.3,100.3
2009/10/1,-0.42,99.9,99.9
2009/9/1,-0.8,100.4,100.4
2009/8/1,-1.28,100.5,100.5
2009/7/1,-1.75,100,100
2009/6/1,-1.38,99.5,99.5
2009/5/1,-1.21,99.7,99.7
2009/4/1,-1.39,99.8,99.8
2009/3/1,-1.22,99.7,99.7
2009/2/1,-1.44,100,100
2009/1/1,0.53,100.9,100.9
2008/12/1,1.53,99.8,99.8
2008/11/1,3.03,99.2,99.2
2008/10/1,4.14,99.7,99.7
2008/9/1,4.82,100,100
2008/8/1,5.42,99.9,99.9
2008/7/1,6.57,100.1,100.1
2008/6/1,7.23,99.8,99.8
2008/5/1,7.63,99.6,99.6
2008/4/1,8.29,100.1,100.1
2008/3/1,8.08,99.3,99.3
2008/2/1,8.07,102.6,102.6
2008/1/1,7.21,101.2,101.2
2007/12/1,6.18,101,101
