,code,start_date,end_date
0,a0501,2003-07-15,2005-01-17
1,a0503,2003-09-15,2005-03-14
2,a0505,2003-11-17,2005-05-20
3,a0507,2004-01-16,2005-07-14
4,a0509,2004-03-15,2005-09-14
5,a0511,2004-05-24,2005-11-14
6,a0601,2004-07-15,2006-01-17
7,a0603,2004-09-15,2006-03-14
8,a0605,2004-11-15,2006-05-19
9,a0607,2005-01-18,2006-07-14
10,a0609,2005-03-15,2006-09-14
11,a0611,2005-05-23,2006-11-14
12,a0701,2005-07-15,2007-01-17
13,a0703,2005-09-15,2007-03-14
14,a0705,2005-11-15,2007-05-21
15,a0707,2006-01-18,2007-07-13
16,a0709,2006-03-15,2007-09-14
17,a0711,2006-05-22,2007-11-14
18,a0801,2006-07-17,2008-01-15
19,a0803,2006-09-15,2008-03-14
20,a0805,2006-11-15,2008-05-16
21,a0807,2007-01-18,2008-07-14
22,a0809,2007-03-15,2008-09-12
23,a0811,2007-05-22,2008-11-14
24,a0901,2007-07-16,2009-01-16
25,a0903,2007-09-17,2009-03-13
26,a0905,2007-11-15,2009-05-15
27,a0907,2008-01-16,2009-07-14
28,a0909,2008-03-17,2009-09-14
29,a0911,2008-05-19,2009-11-13
30,a1001,2008-07-15,2010-01-15
31,a1003,2008-09-16,2010-03-12
32,a1005,2008-11-17,2010-05-17
33,a1007,2009-01-19,2010-07-14
34,a1009,2009-03-16,2010-09-14
35,a1011,2009-05-18,2010-11-12
36,a1101,2009-07-15,2011-01-17
37,a1103,2009-09-15,2011-03-14
38,a1105,2009-11-16,2011-05-16
39,a1107,2010-01-18,2011-07-14
40,a1109,2010-03-15,2011-09-15
41,a1111,2010-05-18,2011-11-14
42,a1201,2010-07-15,2012-01-17
43,a1203,2010-09-15,2012-03-14
44,a1205,2010-11-15,2012-05-15
45,a1207,2011-01-18,2012-07-13
46,a1209,2011-03-15,2012-09-14
47,a1211,2011-05-17,2012-11-14
48,a1301,2011-07-15,2013-01-17
49,a1303,2011-09-16,2013-03-14
50,a1305,2011-11-15,2013-05-15
51,a1307,2012-01-18,2013-07-12
52,a1309,2012-03-15,2013-09-13
53,a1311,2012-05-16,2013-11-14
54,a1401,2012-07-16,2014-01-15
55,a1403,2012-09-17,2014-03-14
56,a1405,2012-11-15,2014-05-16
57,a1407,2013-01-18,2014-07-14
58,a1409,2013-03-15,2014-09-15
59,a1411,2013-05-16,2014-11-14
60,a1501,2013-07-15,2015-01-16
61,a1503,2013-09-16,2015-03-13
62,a1505,2013-11-15,2015-05-15
63,a1507,2014-01-16,2015-07-14
64,a1509,2014-03-17,2015-09-16
65,a1511,2014-05-19,2015-11-13
66,a1601,2014-07-15,2016-01-15
67,a1603,2014-09-16,2016-03-14
68,a1605,2014-11-17,2016-05-16
69,a1607,2015-01-19,2016-07-14
70,a1609,2015-03-16,2016-09-14
71,a1611,2015-05-18,2016-11-14
72,a1701,2015-07-15,2017-01-16
73,a1703,2015-09-17,2017-03-14
74,a1705,2015-11-16,2017-05-15
75,a1707,2016-01-18,2017-07-14
76,a1709,2016-03-15,2017-09-14
77,a1711,2016-05-17,2017-11-14
78,a1801,2016-07-15,2018-01-15
79,a1803,2016-09-19,2018-03-14
80,a1805,2016-11-15,2018-05-15
81,a1807,2017-01-17,2018-07-13
82,a1809,2017-03-15,2018-09-14
83,a1811,2017-05-16,2018-11-14
84,a1901,2017-07-17,2019-01-15
85,a1903,2017-09-15,2019-03-14
86,a1905,2017-11-15,2019-05-17
87,a1907,2018-01-16,2019-07-12
88,a1909,2018-03-15,2019-09-16
89,a1911,2018-05-16,2019-11-14
90,a2001,2018-07-16,2020-01-15
91,a2003,2019-03-15,2020-03-13
92,a2005,2019-05-20,2020-05-15
93,a2007,2019-07-15,2020-07-14
94,a2009,2019-09-17,2020-09-14
95,a2011,2019-11-15,2020-11-13
96,a8888,2005-01-03,2030-01-01
97,a9999,2005-01-03,2030-01-01
98,ag1209,2012-05-10,2012-09-17
99,ag1210,2012-05-10,2012-10-15
100,ag1211,2012-05-10,2012-11-15
101,ag1212,2012-05-10,2012-12-17
102,ag1301,2012-05-10,2013-01-15
103,ag1302,2012-05-10,2013-02-18
104,ag1303,2012-05-10,2013-03-15
105,ag1304,2012-05-10,2013-04-15
106,ag1305,2012-05-16,2013-05-15
107,ag1306,2012-06-18,2013-06-17
108,ag1307,2012-07-17,2013-07-15
109,ag1308,2012-08-16,2013-08-15
110,ag1309,2012-09-18,2013-09-16
111,ag1310,2012-10-16,2013-10-15
112,ag1311,2012-11-16,2013-11-15
113,ag1312,2012-12-18,2013-12-16
114,ag1401,2013-01-16,2014-01-15
115,ag1402,2013-02-19,2014-02-17
116,ag1403,2013-03-18,2014-03-17
117,ag1404,2013-04-16,2014-04-15
118,ag1405,2013-05-16,2014-05-15
119,ag1406,2013-06-18,2014-06-16
120,ag1407,2013-07-16,2014-07-15
121,ag1408,2013-08-16,2014-08-15
122,ag1409,2013-09-17,2014-09-15
123,ag1410,2013-10-16,2014-10-15
124,ag1411,2013-11-18,2014-11-17
125,ag1412,2013-12-17,2014-12-15
126,ag1501,2014-01-16,2015-01-15
127,ag1502,2014-02-18,2015-02-10
128,ag1503,2014-03-18,2015-03-16
129,ag1504,2014-04-16,2015-04-15
130,ag1505,2014-05-16,2015-05-15
131,ag1506,2014-06-17,2015-06-15
132,ag1507,2014-07-16,2015-07-15
133,ag1508,2014-08-18,2015-08-17
134,ag1509,2014-09-16,2015-09-15
135,ag1510,2014-10-16,2015-10-15
136,ag1511,2014-11-18,2015-11-16
137,ag1512,2014-12-16,2015-12-15
138,ag1601,2015-01-16,2016-01-15
139,ag1602,2015-02-16,2016-02-15
140,ag1603,2015-03-17,2016-03-15
141,ag1604,2015-04-16,2016-04-15
142,ag1605,2015-05-18,2016-05-16
143,ag1606,2015-06-16,2016-06-15
144,ag1607,2015-07-16,2016-07-15
145,ag1608,2015-08-18,2016-08-15
146,ag1609,2015-09-16,2016-09-19
147,ag1610,2015-10-16,2016-10-17
148,ag1611,2015-11-17,2016-11-15
149,ag1612,2015-12-16,2016-12-15
150,ag1701,2016-01-18,2017-01-16
151,ag1702,2016-02-16,2017-02-15
152,ag1703,2016-03-16,2017-03-15
153,ag1704,2016-04-18,2017-04-17
154,ag1705,2016-05-17,2017-05-15
155,ag1706,2016-06-16,2017-06-15
156,ag1707,2016-07-18,2017-07-17
157,ag1708,2016-08-16,2017-08-15
158,ag1709,2016-09-20,2017-09-15
159,ag1710,2016-10-18,2017-10-16
160,ag1711,2016-11-16,2017-11-15
161,ag1712,2016-12-16,2017-12-15
162,ag1801,2017-01-17,2018-01-15
163,ag1802,2017-02-16,2018-02-09
164,ag1803,2017-03-16,2018-03-15
165,ag1804,2017-04-18,2018-04-16
166,ag1805,2017-05-16,2018-05-15
167,ag1806,2017-06-16,2018-06-15
168,ag1807,2017-07-18,2018-07-16
169,ag1808,2017-08-16,2018-08-15
170,ag1809,2017-09-18,2018-09-17
171,ag1810,2017-10-17,2018-10-15
172,ag1811,2017-11-16,2018-11-15
173,ag1812,2017-12-18,2018-12-17
174,ag1901,2018-01-16,2019-01-15
175,ag1902,2018-02-12,2019-02-15
176,ag1903,2018-03-16,2019-03-15
177,ag1904,2018-04-17,2019-04-15
178,ag1905,2018-05-16,2019-05-15
179,ag1906,2018-06-19,2019-06-17
180,ag1907,2018-07-17,2019-07-15
181,ag1908,2018-08-16,2019-08-15
182,ag1909,2018-09-18,2019-09-16
183,ag1910,2018-10-16,2019-10-15
184,ag1911,2018-11-16,2019-11-15
185,ag1912,2018-12-18,2019-12-16
186,ag2001,2019-01-16,2020-01-15
187,ag2002,2019-02-18,2020-02-17
188,ag2003,2019-03-18,2020-03-16
189,ag2004,2019-04-16,2020-04-15
190,ag2005,2019-05-16,2020-05-15
191,ag2006,2019-06-18,2020-06-15
192,ag2007,2019-07-16,2020-07-15
193,ag2008,2019-08-16,2020-08-17
194,ag2009,2019-09-17,2020-09-15
195,ag2010,2019-10-16,2020-10-15
196,ag2011,2019-11-18,2020-11-16
197,ag8888,2012-05-10,2030-01-01
198,ag9999,2012-05-10,2030-01-01
199,al0501,2004-02-26,2005-01-17
200,al0502,2004-03-05,2005-02-04
201,al0503,2004-04-02,2005-03-15
202,al0504,2004-07-27,2005-04-15
203,al0505,2004-08-30,2005-05-16
204,al0506,2004-08-30,2005-06-15
205,al0507,2004-09-27,2005-07-15
206,al0508,2004-12-22,2005-08-15
207,al0509,2005-03-18,2005-09-15
208,al0510,2004-10-28,2005-10-17
209,al0511,2004-12-10,2005-11-15
210,al0512,2005-01-17,2005-12-15
211,al0601,2005-03-01,2006-01-16
212,al0602,2005-04-29,2006-02-15
213,al0603,2005-03-28,2006-03-15
214,al0604,2005-06-30,2006-04-17
215,al0605,2005-09-13,2006-05-15
216,al0606,2005-09-28,2006-06-15
217,al0607,2005-09-28,2006-07-17
218,al0608,2005-09-28,2006-08-15
219,al0609,2005-10-24,2006-09-15
220,al0610,2005-11-01,2006-10-16
221,al0611,2005-11-24,2006-11-15
222,al0612,2006-01-12,2006-12-15
223,al0701,2006-01-18,2007-01-15
224,al0702,2006-04-20,2007-02-12
225,al0703,2006-04-19,2007-03-15
226,al0704,2006-04-25,2007-04-16
227,al0705,2006-05-16,2007-05-15
228,al0706,2006-06-21,2007-06-15
229,al0707,2006-08-28,2007-07-16
230,al0708,2006-08-30,2007-08-15
231,al0709,2006-09-18,2007-09-17
232,al0710,2006-10-30,2007-10-15
233,al0711,2006-12-05,2007-11-15
234,al0712,2006-12-18,2007-12-17
235,al0801,2007-02-06,2008-01-15
236,al0802,2007-02-27,2008-02-15
237,al0803,2007-03-20,2008-03-17
238,al0804,2007-04-18,2008-04-15
239,al0805,2007-05-17,2008-05-15
240,al0806,2007-06-18,2008-06-16
241,al0807,2007-07-18,2008-07-15
242,al0808,2007-08-16,2008-08-15
243,al0809,2007-09-28,2008-09-16
244,al0810,2007-10-24,2008-10-15
245,al0811,2007-11-21,2008-11-17
246,al0812,2007-12-19,2008-12-15
247,al0901,2008-01-16,2009-01-15
248,al0902,2008-02-20,2009-02-16
249,al0903,2008-03-18,2009-03-16
250,al0904,2008-04-16,2009-04-15
251,al0905,2008-06-10,2009-05-15
252,al0906,2008-06-19,2009-06-15
253,al0907,2008-07-23,2009-07-15
254,al0908,2008-08-21,2009-08-17
255,al0909,2008-09-18,2009-09-15
256,al0910,2008-10-16,2009-10-15
257,al0911,2008-11-18,2009-11-16
258,al0912,2008-12-18,2009-12-15
259,al1001,2009-01-20,2010-01-15
260,al1002,2009-02-25,2010-02-09
261,al1003,2009-03-17,2010-03-15
262,al1004,2009-04-16,2010-04-15
263,al1005,2009-05-21,2010-05-17
264,al1006,2009-06-16,2010-06-17
265,al1007,2009-07-20,2010-07-15
266,al1008,2009-08-19,2010-08-16
267,al1009,2009-09-24,2010-09-15
268,al1010,2009-10-16,2010-10-15
269,al1011,2009-11-18,2010-11-15
270,al1012,2009-12-28,2010-12-15
271,al1101,2010-01-18,2011-01-17
272,al1102,2010-02-22,2011-02-15
273,al1103,2010-03-17,2011-03-15
274,al1104,2010-04-22,2011-04-15
275,al1105,2010-05-18,2011-05-16
276,al1106,2010-06-21,2011-06-15
277,al1107,2010-07-21,2011-07-15
278,al1108,2010-08-17,2011-08-15
279,al1109,2010-09-16,2011-09-15
280,al1110,2010-10-18,2011-10-17
281,al1111,2010-11-16,2011-11-15
282,al1112,2010-12-16,2011-12-15
283,al1201,2011-01-18,2012-01-13
284,al1202,2011-02-16,2012-02-15
285,al1203,2011-03-16,2012-03-15
286,al1204,2011-04-18,2012-04-16
287,al1205,2011-05-17,2012-05-15
288,al1206,2011-06-16,2012-06-15
289,al1207,2011-07-18,2012-07-16
290,al1208,2011-08-16,2012-08-15
291,al1209,2011-09-16,2012-09-17
292,al1210,2011-10-18,2012-10-15
293,al1211,2011-11-16,2012-11-15
294,al1212,2011-12-16,2012-12-17
