date,index
2019-07-01,121.18
2019-06-01,120.41
2019-05-01,122.18
2019-04-01,124.01
2019-03-01,124.37
2019-02-01,124.52
2019-01-01,122.1
2018-12-01,121.07
2018-11-01,119.98
2018-10-01,120.02
2018-09-01,120.53
2018-08-01,119.84
2018-07-01,120.91
2018-06-01,124.52
2018-05-01,125.36
2018-04-01,124.59
2018-03-01,124.32
2018-02-01,126.19
2018-01-01,123.28
2017-12-01,122.12
2017-11-01,121.92
2017-10-01,122.02
2017-09-01,121.7
2017-08-01,120.07
2017-07-01,119.34
2017-06-01,119.21
2017-05-01,118.85
2017-04-01,119.73
2017-03-01,120.78
2017-02-01,122.44
2017-01-01,123.63
2016-12-01,123.13
2016-11-01,122.04
2016-10-01,121.35
2016-09-01,121.61
2016-08-01,121.18
2016-07-01,122.1
2016-06-01,123.32
2016-05-01,125.33
2016-04-01,126.32
2016-03-01,128.69
2016-02-01,130.93
2016-01-01,129.71
2015-12-01,130.2
2015-11-01,130.86
2015-10-01,128.86
2015-09-01,130.02
2015-08-01,130.09
2015-07-01,130.68
2015-06-01,128.67
2015-05-01,127.88
2015-04-01,129.48
2015-03-01,130.33
2015-02-01,129.29
2015-01-01,127.37
2014-12-01,125.31
2014-11-01,123.81
2014-10-01,121.12
2014-09-01,119.23
2014-08-01,116.46
2014-07-01,114.52
2014-06-01,113.88
2014-05-01,113.88
2014-04-01,114.53
2014-03-01,117.13
2014-02-01,120.71
2014-01-01,120.8
2013-12-01,118.52
2013-11-01,117.46
2013-10-01,116.05
2013-09-01,117.3
2013-08-01,116.97
2013-07-01,116.9
2013-06-01,115.91
2013-05-01,115.87
2013-04-01,114.88
2013-03-01,113.77
2013-02-01,113.43
2013-01-01,111.58
2012-12-01,110.04
2012-11-01,109.69
2012-10-01,107.81
2012-09-01,107.55
2012-08-01,108.39
2012-07-01,108.83
2012-06-01,108.92
2012-05-01,109.1
2012-04-01,108.2
2012-03-01,108.36
2012-02-01,108.11
2012-01-01,109.58
2011-12-01,108.08
2011-11-01,106.45
2011-10-01,105.77
2011-09-01,104.48
2011-08-01,101.25
2011-07-01,100.43
2011-06-01,100.12
2011-05-01,99.81
2011-04-01,99.63
2011-03-01,100.78
2011-02-01,102.36
2011-01-01,101.81
2010-12-01,101.46
2010-11-01,100.19
2010-10-01,98.3
2010-09-01,99.76
2010-08-01,99.77
2010-07-01,100.8
2010-06-01,101.92
2010-05-01,101.43
2010-04-01,98.93
2010-03-01,99.0
2010-02-01,100.45
2010-01-01,97.98
2009-12-01,97.26
2009-11-01,95.72
2009-10-01,95.93
2009-09-01,97.48
2009-08-01,98.4
2009-07-01,99.19
2009-06-01,99.59
2009-05-01,101.56
2009-04-01,104.93
2009-03-01,107.42
2009-02-01,107.63
2009-01-01,104.83
2008-12-01,102.84
2008-11-01,105.27
2008-10-01,102.61
2008-09-01,98.39
2008-08-01,95.76
2008-07-01,93.6
2008-06-01,93.64
2008-05-01,93.15
2008-04-01,92.81
2008-03-01,92.35
2008-02-01,94.8
2008-01-01,91.99
2007-12-01,90.27
2007-11-01,88.54
2007-10-01,88.45
2007-09-01,89.7
2007-08-01,89.94
2007-07-01,89.01
2007-06-01,88.69
2007-05-01,87.72
2007-04-01,87.13
2007-03-01,88.21
2007-02-01,89.65
2007-01-01,88.43
2006-12-01,86.57
2006-11-01,86.25
2006-10-01,86.27
2006-09-01,85.48
2006-08-01,84.15
2006-07-01,84.24
2006-06-01,84.46
2006-05-01,83.77
2006-04-01,86.0
2006-03-01,86.92
2006-02-01,88.14
2006-01-01,86.89
2005-12-01,87.6
2005-11-01,87.76
2005-10-01,86.39
2005-09-01,85.28
2005-08-01,85.03
2005-07-01,84.99
2005-06-01,83.47
2005-05-01,82.75
2005-04-01,82.82
2005-03-01,82.39
2005-02-01,84.16
2005-01-01,82.83
2004-12-01,81.84
2004-11-01,83.05
2004-10-01,85.2
2004-09-01,86.7
2004-08-01,86.38
2004-07-01,85.64
2004-06-01,86.03
2004-05-01,87.51
2004-04-01,86.69
2004-03-01,86.1
2004-02-01,85.25
2004-01-01,85.81
2003-12-01,85.94
2003-11-01,86.98
2003-10-01,85.69
2003-09-01,87.16
2003-08-01,87.62
2003-07-01,86.86
2003-06-01,86.49
2003-05-01,87.47
2003-04-01,90.59
2003-03-01,90.83
2003-02-01,91.77
2003-01-01,91.24
2002-12-01,91.9
2002-11-01,92.08
2002-10-01,93.18
2002-09-01,92.55
2002-08-01,91.59
2002-07-01,90.92
2002-06-01,93.2
2002-05-01,95.49
2002-04-01,98.07
2002-03-01,99.19
2002-02-01,101.49
2002-01-01,99.99
2001-12-01,98.33
2001-11-01,97.54
2001-10-01,96.79
2001-09-01,96.02
2001-08-01,95.97
2001-07-01,98.03
2001-06-01,97.78
2001-05-01,98.05
2001-04-01,99.23
2001-03-01,98.05
2001-02-01,97.03
2001-01-01,96.82
2000-12-01,95.56
2000-11-01,95.78
2000-10-01,94.79
2000-09-01,94.1
2000-08-01,92.05
2000-07-01,91.12
2000-06-01,91.04
2000-05-01,93.15
2000-04-01,92.19
2000-03-01,92.54
2000-02-01,94.3
2000-01-01,91.86
1999-12-01,90.37
1999-11-01,90.83
